Name,Light Years from Earth,Planet Mass,Stellar Magnitude,Discovery Date
EPIC 211822797 b,611,4.58 Earths,15.256,2016
EPIC 211945201 b,596,27 Earths,10.154,2018
EPIC 212297394 b,1381,2.31 Earths,14.423,2019
EPIC 212424622 b,2031,5.35 Earths,13.354,2019
EPIC 212499991 b,932,3.19 Earths,13.552,2019
EPIC 212587672 b,1053,1.46 Earths,12.487,2019
EPIC 212737443 b,1133,7.2 Earths,14.836,2019
EPIC 212737443 c,1133,7.7 Earths,14.836,2019
EPIC 220554210 c,1638,2.79 Earths,14.042,2019
EPIC 220674823 b,803,7.72 Earths,12.102,2016
EPIC 220674823 c,803,5.8 Earths,12.102,2016
EPIC 246851721 b,1098,3 Jupiters,11.439,2018
EPIC 248847494 b,1827,13 Jupiters,12.416,2018
EPIC 249893012 b,1058,8.75 Earths,11.428,2020
EPIC 249893012 c,1058,14.67 Earths,11.428,2020
EPIC 249893012 d,1058,10.18 Earths,11.428,2020
Epsilon Coronae Borealis b,228,6.7 Jupiters,4.15,2012
EPIC 212737443 c,1133,7.7 Earths,14.836,2019
EPIC 220554210 c,1638,2.79 Earths,14.042,2019
EPIC 220674823 b,803,7.72 Earths,12.102,2016
EPIC 220674823 c,803,5.8 Earths,12.102,2016
EPIC 246851721 b,1098,3 Jupiters,11.439,2018
EPIC 248847494 b,1827,13 Jupiters,12.416,2018
EPIC 249893012 b,1058,8.75 Earths,11.428,2020
EPIC 249893012 c,1058,14.67 Earths,11.428,2020
EPIC 249893012 d,1058,10.18 Earths,11.428,2020
Epsilon Coronae Borealis b,228,6.7 Jupiters,4.15,2012
EPIC 212737443 c,1133,7.7 Earths,14.836,2019
EPIC 220554210 c,1638,2.79 Earths,14.042,2019
EPIC 220674823 b,803,7.72 Earths,12.102,2016
EPIC 220674823 c,803,5.8 Earths,12.102,2016
EPIC 246851721 b,1098,3 Jupiters,11.439,2018
EPIC 248847494 b,1827,13 Jupiters,12.416,2018
EPIC 249893012 b,1058,8.75 Earths,11.428,2020
EPIC 249893012 c,1058,14.67 Earths,11.428,2020
EPIC 249893012 d,1058,10.18 Earths,11.428,2020
Epsilon Coronae Borealis b,228,6.7 Jupiters,4.15,2012
Epsilon Eridani b,11,0.78 Jupiters,3.82,2000
Epsilon Indi A b,12,3.25 Jupiters,4.69,2019
Epsilon Tauri b,161,7.6 Jupiters,3.54,2006
FU Tauri b,457,16 Jupiters,20.48,2008
G 9-40 b,91,4.76 Earths,13.823,2019
Gamma 1 Leonis b,126,8.78 Jupiters,1.98,2009
Gamma Cephei b,44,1.85 Jupiters,3.21,2003
Gamma Librae b,155,1.02 Jupiters,3.91,2018
Gamma Librae c,155,4.58 Jupiters,3.91,2018
GJ 1061 b,12,1.37 Earths,13.06,2020
GJ 1061 c,12,1.74 Earths,13.06,2020
GJ 1061 d,12,1.64 Earths,13.06,2020
GJ 1132 b,41,1.66 Earths,13.49,2015
GJ 1132 c,41,2.64 Earths,13.49,2018
GJ 1148 b,36,0.30425 Jupiters,11.92,2010
GJ 1148 c,36,0.21414 Jupiters,11.92,2017
GJ 1214 b,48,6.26125 Earths,15.1,2009
GJ 1252 b,66,2.09 Earths,12.193,2020
GJ 1265 b,33,7.4 Earths,13.57,2018
GJ 143 b,53,22.7 Earths,7.87,2019
GJ 1061 c,12,1.74 Earths,13.06,2020
GJ 1061 d,12,1.64 Earths,13.06,2020
GJ 1132 b,41,1.66 Earths,13.49,2015
GJ 1132 c,41,2.64 Earths,13.49,2018
GJ 1148 b,36,0.30425 Jupiters,11.92,2010
GJ 1148 c,36,0.21414 Jupiters,11.92,2017
GJ 1214 b,48,6.26125 Earths,15.1,2009
GJ 1252 b,66,2.09 Earths,12.193,2020
GJ 1265 b,33,7.4 Earths,13.57,2018
GJ 143 b,53,22.7 Earths,7.87,2019
GJ 15 A b,12,3.03 Earths,8.08,2014
GJ 15 A c,12,36 Earths,8.08,2018
GJ 160.2 b,84,10.2 Earths,9.68,2014
GJ 163 b,49,10.6 Earths,11.81,2013
GJ 163 c,49,6.8 Earths,11.81,2013
GJ 163 d,49,29.4 Earths,11.81,2013
GJ 179 b,40,0.82 Jupiters,12,2009
GJ 180 b,39,6.49 Earths,10.91,2014
GJ 180 c,39,6.4 Earths,10.91,2014
GJ 180 d,39,7.56 Earths,10.91,2020
GJ 15 A b,12,3.03 Earths,8.08,2014
GJ 15 A c,12,36 Earths,8.08,2018
GJ 160.2 b,84,10.2 Earths,9.68,2014
GJ 163 b,49,10.6 Earths,11.81,2013
GJ 163 c,49,6.8 Earths,11.81,2013
GJ 163 d,49,29.4 Earths,11.81,2013
GJ 179 b,40,0.82 Jupiters,12,2009
GJ 180 b,39,6.49 Earths,10.91,2014
GJ 180 c,39,6.4 Earths,10.91,2014
GJ 180 d,39,7.56 Earths,10.91,2020
GJ 2056 b,93,16.2 Earths,10.37,2020
GJ 229 A c,19,7.268 Earths,8.14,2020
GJ 229 b,19,8.478 Earths,8.14,2014
GJ 251 b,18,4 Earths,10.02,2020
GJ 27.1 b,77,13 Earths,11.42,2014
GJ 273 b,12,2.89 Earths,9.872,2017
GJ 273 c,12,1.18 Earths,9.872,2017
GJ 3021 b,57,3.37 Jupiters,6.59,2000
GJ 3082 b,54,8.2 Earths,11.077,2020
GJ 3138 b,93,1.78 Earths,10.98,2017
GJ 2056 b,93,16.2 Earths,10.37,2020
GJ 229 A c,19,7.268 Earths,8.14,2020
GJ 229 b,19,8.478 Earths,8.14,2014
GJ 251 b,18,4 Earths,10.02,2020
GJ 27.1 b,77,13 Earths,11.42,2014
GJ 273 b,12,2.89 Earths,9.872,2017
GJ 273 c,12,1.18 Earths,9.872,2017
GJ 3021 b,57,3.37 Jupiters,6.59,2000
GJ 3082 b,54,8.2 Earths,11.077,2020
GJ 3138 b,93,1.78 Earths,10.98,2017
GJ 2056 b,93,16.2 Earths,10.37,2020
GJ 229 A c,19,7.268 Earths,8.14,2020
GJ 229 b,19,8.478 Earths,8.14,2014
GJ 251 b,18,4 Earths,10.02,2020
GJ 27.1 b,77,13 Earths,11.42,2014
GJ 273 b,12,2.89 Earths,9.872,2017
GJ 273 c,12,1.18 Earths,9.872,2017
GJ 3021 b,57,3.37 Jupiters,6.59,2000
GJ 3082 b,54,8.2 Earths,11.077,2020
GJ 3138 b,93,1.78 Earths,10.98,2017
GJ 2056 b,93,16.2 Earths,10.37,2020
GJ 229 A c,19,7.268 Earths,8.14,2020
GJ 229 b,19,8.478 Earths,8.14,2014
GJ 251 b,18,4 Earths,10.02,2020
GJ 27.1 b,77,13 Earths,11.42,2014
GJ 273 b,12,2.89 Earths,9.872,2017
GJ 273 c,12,1.18 Earths,9.872,2017
GJ 3021 b,57,3.37 Jupiters,6.59,2000
GJ 3082 b,54,8.2 Earths,11.077,2020
GJ 3138 b,93,1.78 Earths,10.98,2017
GJ 2056 b,93,16.2 Earths,10.37,2020
GJ 229 A c,19,7.268 Earths,8.14,2020
GJ 229 b,19,8.478 Earths,8.14,2014
GJ 251 b,18,4 Earths,10.02,2020
GJ 27.1 b,77,13 Earths,11.42,2014
GJ 273 b,12,2.89 Earths,9.872,2017
GJ 273 c,12,1.18 Earths,9.872,2017
GJ 3021 b,57,3.37 Jupiters,6.59,2000
GJ 3082 b,54,8.2 Earths,11.077,2020
GJ 3138 b,93,1.78 Earths,10.98,2017
GJ 3634 b,65,8.4 Earths,11.93,2010
GJ 3779 b,45,8 Earths,12.96,2018
GJ 3942 b,55,7.14 Earths,10.25,2017
GJ 3998 b,59,2.47 Earths,10.83,2016
GJ 3998 c,59,6.26 Earths,10.83,2016
GJ 411 b,8,2.69 Earths,7.49,2019
GJ 422 b,41,11.07 Earths,11.55,2014
GJ 4276 b,70,16.57 Earths,11.66,2019
GJ 433 b,30,6.043 Earths,9.806,2011
GJ 433 c,30,32.422 Earths,9.806,2014
GJ 433 d,30,5.223 Earths,9.806,2020
GJ 436 b,32,22.1 Earths,10.67,2004
GJ 480 b,46,13.2 Earths,11.51,2020
GJ 504 b,57,4 Jupiters,5.22,2013
GJ 536 b,34,5.36 Earths,9.72,2016
GJ 581 b,21,15.8 Earths,10.56,2005
GJ 581 c,21,5.5 Earths,10.56,2007
GJ 581 e,21,1.7 Earths,10.56,2009
GJ 625 b,21,2.82 Earths,10.1,2017
GJ 649 b,34,0.328 Jupiters,9.69,2009
GJ 667 C b,22,5.6 Earths,10.22,2011
GJ 667 C c,22,3.8 Earths,10.22,2011
GJ 667 C e,22,2.7 Earths,10.22,2013
GJ 667 C f,22,2.7 Earths,10.22,2013
GJ 667 C g,22,4.6 Earths,10.22,2013
GJ 674 b,15,11.09 Earths,9.37,2007
GJ 676 A b,52,6.7 Jupiters,9.58,2010
GJ 676 A c,52,6.8 Jupiters,9.58,2016
GJ 676 A d,52,4.4 Earths,9.58,2012
GJ 676 A e,52,8.1 Earths,9.58,2012
GJ 667 C b,22,5.6 Earths,10.22,2011
GJ 667 C c,22,3.8 Earths,10.22,2011
GJ 667 C e,22,2.7 Earths,10.22,2013
GJ 667 C f,22,2.7 Earths,10.22,2013
GJ 667 C g,22,4.6 Earths,10.22,2013
GJ 674 b,15,11.09 Earths,9.37,2007
GJ 676 A b,52,6.7 Jupiters,9.58,2010
GJ 676 A c,52,6.8 Jupiters,9.58,2016
GJ 676 A d,52,4.4 Earths,9.58,2012
GJ 676 A e,52,8.1 Earths,9.58,2012
GJ 667 C b,22,5.6 Earths,10.22,2011
GJ 667 C c,22,3.8 Earths,10.22,2011
GJ 667 C e,22,2.7 Earths,10.22,2013
GJ 667 C f,22,2.7 Earths,10.22,2013
GJ 667 C g,22,4.6 Earths,10.22,2013
GJ 674 b,15,11.09 Earths,9.37,2007
GJ 676 A b,52,6.7 Jupiters,9.58,2010
GJ 676 A c,52,6.8 Jupiters,9.58,2016
GJ 676 A d,52,4.4 Earths,9.58,2012
GJ 676 A e,52,8.1 Earths,9.58,2012
GJ 667 C b,22,5.6 Earths,10.22,2011
GJ 667 C c,22,3.8 Earths,10.22,2011
GJ 667 C e,22,2.7 Earths,10.22,2013
GJ 667 C f,22,2.7 Earths,10.22,2013
GJ 667 C g,22,4.6 Earths,10.22,2013
GJ 674 b,15,11.09 Earths,9.37,2007
GJ 676 A b,52,6.7 Jupiters,9.58,2010
GJ 676 A c,52,6.8 Jupiters,9.58,2016
GJ 676 A d,52,4.4 Earths,9.58,2012
GJ 676 A e,52,8.1 Earths,9.58,2012
GJ 682 b,16,4.4 Earths,10.97,2014
GJ 682 c,16,8.7 Earths,10.97,2014
GJ 685 b,47,9 Earths,9.97,2019
GJ 687 b,15,17.2 Earths,9.15,2014
GJ 687 c,15,16 Earths,9.15,2020
GJ 832 b,16,0.68 Jupiters,8.66,2008
GJ 832 c,16,5.4 Earths,8.66,2014
GJ 849 b,29,1 Jupiter,10.37,2006
GJ 86 b,35,4.42 Jupiters,6.12,1999
GJ 876 b,15,2.2756 Jupiters,10.191,1998
GJ 9827 d,97,4.04 Earths,10.25,2017
Gl 378 b,49,13.02 Earths,10.19,2019
Gl 49 b,32,5.63 Earths,9.56,2019
Gl 686 b,27,6.624 Earths,9.577,2018
GQ Lupi b,495,20 Jupiters,12.43,2004
GSC 06214-00210 b,473,16 Jupiters,12.375,2010
GU Piscium b,157,11.3 Jupiters,13.55,2014
HAT-P-11 b,123,26.69772 Earths,9.151,2008
HAT-P-11 c,123,2.3 Jupiters,9.151,2018
HAT-P-12 b,465,0.211 Jupiters,12.84,2009
HAT-P-13 b,698,0.851 Jupiters,10.622,2009
HAT-P-13 c,698,14.28 Jupiters,10.622,2009
HAT-P-14 b,731,3.44 Jupiters,9.98,2010
HAT-P-15 b,631,1.94 Jupiters,12.16,2010
HAT-P-16 b,767,4.193 Jupiters,10.812,2010
HAT-P-17 b,302,0.58 Jupiters,10.54,2010
HAT-P-17 c,302,3.4 Jupiters,10.54,2010
HAT-P-18 b,541,0.197 Jupiters,12.759,2010
HAT-P-19 b,701,0.292 Jupiters,12.901,2010
HAT-P-1 b,521,0.525 Jupiters,10.34,2006
HAT-P-13 b,698,0.851 Jupiters,10.622,2009
HAT-P-13 c,698,14.28 Jupiters,10.622,2009
HAT-P-14 b,731,3.44 Jupiters,9.98,2010
HAT-P-15 b,631,1.94 Jupiters,12.16,2010
HAT-P-16 b,767,4.193 Jupiters,10.812,2010
HAT-P-17 b,302,0.58 Jupiters,10.54,2010
HAT-P-17 c,302,3.4 Jupiters,10.54,2010
HAT-P-18 b,541,0.197 Jupiters,12.759,2010
HAT-P-19 b,701,0.292 Jupiters,12.901,2010
HAT-P-1 b,521,0.525 Jupiters,10.34,2006
HAT-P-13 b,698,0.851 Jupiters,10.622,2009
HAT-P-13 c,698,14.28 Jupiters,10.622,2009
HAT-P-14 b,731,3.44 Jupiters,9.98,2010
HAT-P-15 b,631,1.94 Jupiters,12.16,2010
HAT-P-16 b,767,4.193 Jupiters,10.812,2010
HAT-P-17 b,302,0.58 Jupiters,10.54,2010
HAT-P-17 c,302,3.4 Jupiters,10.54,2010
HAT-P-18 b,541,0.197 Jupiters,12.759,2010
HAT-P-19 b,701,0.292 Jupiters,12.901,2010
HAT-P-1 b,521,0.525 Jupiters,10.34,2006
HAT-P-13 b,698,0.851 Jupiters,10.622,2009
HAT-P-13 c,698,14.28 Jupiters,10.622,2009
HAT-P-14 b,731,3.44 Jupiters,9.98,2010
HAT-P-15 b,631,1.94 Jupiters,12.16,2010
HAT-P-16 b,767,4.193 Jupiters,10.812,2010
HAT-P-17 b,302,0.58 Jupiters,10.54,2010
HAT-P-17 c,302,3.4 Jupiters,10.54,2010
HAT-P-18 b,541,0.197 Jupiters,12.759,2010
HAT-P-19 b,701,0.292 Jupiters,12.901,2010
HAT-P-1 b,521,0.525 Jupiters,10.34,2006
HAT-P-13 b,698,0.851 Jupiters,10.622,2009
HAT-P-13 c,698,14.28 Jupiters,10.622,2009
HAT-P-14 b,731,3.44 Jupiters,9.98,2010
HAT-P-15 b,631,1.94 Jupiters,12.16,2010
HAT-P-16 b,767,4.193 Jupiters,10.812,2010
HAT-P-17 b,302,0.58 Jupiters,10.54,2010
HAT-P-17 c,302,3.4 Jupiters,10.54,2010
HAT-P-18 b,541,0.197 Jupiters,12.759,2010
HAT-P-19 b,701,0.292 Jupiters,12.901,2010
HAT-P-1 b,521,0.525 Jupiters,10.34,2006
HAT-P-20 b,228,7.246 Jupiters,11.339,2010
HAT-P-21 b,912,4.87 Jupiters,11.685,2010
HAT-P-22 b,267,2.47 Jupiters,9.732,2010
HAT-P-23 b,1202,1.34 Jupiters,12.432,2010
HAT-P-24 b,1371,0.75 Jupiters,11.818,2010
HAT-P-25 b,988,0.569 Jupiters,13.19,2010
HAT-P-26 b,465,22.2481 Earths,11.744,2010
HAT-P-27 b,665,0.62 Jupiters,11.956,2011
HAT-P-28 b,1288,0.626 Jupiters,13.03,2011
HAT-P-29 b,1032,0.88 Jupiters,11.9,2011
HAT-P-49 b,1154,2.2 Jupiters,10.326,2014
HAT-P-4 b,1024,0.671 Jupiters,11.118,2007
HAT-P-50 b,1621,1.35 Jupiters,11.762,2015
HAT-P-51 b,1533,0.309 Jupiters,13.44,2015
HAT-P-52 b,1256,0.818 Jupiters,14.068,2015
HAT-P-53 b,2345,1.484 Jupiters,13.73,2015
HAT-P-54 b,471,0.76 Jupiters,13.017,2015
HAT-P-55 b,1566,0.582 Jupiters,13.207,2015
HAT-P-56 b,1055,2.31 Jupiters,10.908,2015
